01,0604,LA,1R,70104,146511,B01,BUL,CR,1000,07091801
02,0608,LC,70120,146040,B01,BUL,CR,1000,07091801
03,0621,LC,70400,146060,B01,BUL,CR,1000,07091801
04,0622,LC,70400,146380,B01,BUL,CR,1000,07091801
05,0641,LC,70120,146520,B01,BUL,CR,1000,07091801
06,0645,LC,70120,147240,B01,BUL,CR,1000,07091801
07,0700,SD,70366,147150,B01,BUL,CR,1000,07091801
08,0706,LC,70400,147440,B01,BUL,CR,1000,07091801
09,0716,LC,70180,147380,B01,BUL,CR,1000,07091801
10,0722,LC,70220,148060,B01,BUL,CR,1000,07091801
11,0728,LC,70400,148160,B01,BUL,CR,1000,07091801
12,0734,LC,70400,148500,B01,BUL,CR,1000,07091801
13,0739,LC,2,70240,148550,B01,BUL,CR,1000,07091801
01,0750,LC,1R,70349,149456,B01,BUL,CR,1000,07092001
02,0758,SI,70384,149102,B01,BUL,CR,1000,60,WS,002,OI,07092001
03,0806,LC,70390,148513,B01,BUL,CR,1000,07092001
04,0814,LC,70275,148556,B01,BUL,CR,1000,07092001
05,0820,LC,70242,148150,B01,BUL,CR,1000,07092001
06,0827,LC,70390,148080,B01,BUL,CR,1000,07092001
07,0830,LC,70390,147542,B01,BUL,CR,1000,07092001
08,0839,LC,70198,147526,B01,BUL,CR,1000,07092001
09,0846,LC,70123,147220,B01,BUL,CR,1000,07092001
10,0859,LC,70390,147160,B01,BUL,CR,1000,07092001
11,0906,LC,70390,146352,B01,BUL,CR,1000,07092001
06,1217,LC,70060,145235,B02,BUL,CR,1000,07092101
07,1223,SI,70139,145209,B02,BUL,CR,1000,60,PN,1,07092101
08,1226,SI,70217,145210,B02,BUL,CR,1000,35,RS,1,07092101
09,1228,SI,70257,145191,B02,BUL,CR,1000,24,RS,1,07092101
10,1229,SD,70287,145188,B02,BUL,CR,1000,07092101
11,1233,LC,70380,145172,B02,BUL,CR,1000,07092101
12,1243,SD,70376,145236,B02,BUL,CR,1000,07092101
13,1250,SI,70372,144428,B02,BUL,CR,1000,17,BH,1,BW,270,SW,07092101
14,1257,SI,70365,144350,B02,BUL,CR,1000,RS,1,B0,07092101
15,1300,LC,70380,143960,B02,BUL,CR,1000,07092101
16,1311,SI,70130,144420,B02,BUL,CR,1000,PN,2,DV,07092101
17,1313,SI,70090,144416,B02,BUL,CR,1000,36,RS,1,DV,07092101
18,1314,SI,70083,144420,B02,BUL,CR,1000,35,RS,3,DV,07092101
19,1315,LC,70060,144410,B02,BUL,CR,1000,07092101
20,1319,LC,70060,144090,B02,BUL,CR,1000,07092101
21,1325,SI,70176,144097,B02,BUL,CR,1000,25,RS,1,07092102
22,1329,SI,70259,144094,B02,BUL,CR,1000,42,RS,1,07092102
23,1334,SI,70345,144057,B02,BUL,CR,1000,20,RS,3,07092102
24,1335,LC,70380,144075,B02,BUL,CR,1000,07092102
25,1336,SD,70394,144053,B02,BUL,CR,1000,07092102
26,1337,SI,70394,144053,B02,BUL,CR,1900,40,RS,20,07092102
27,1339,SI,70372,144082,B02,BUL,CR,1900,35,RS,6,07092102
28,1343,SI,70371,144033,B02,BUL,CR,1900,RS,6,07092102
29,1348,SI,70374,143462,B02,BUL,CR,1900,45,RS,6,07092102
30,1349,LC,70380,143362,B02,BUL,CR,1900,07092102
31,1351,SI,70262,143452,B02,BUL,CR,1900,RS,1,07092102
32,1359,SI,70191,143501,B02,BUL,CR,1900,RS,1,07092102
33,1401,SI,70147,143520,B02,BUL,CR,1900,61,RS,1,07092102
34,1403,LC,70120,143528,B02,BUL,CR,1900,07092102
35,1404,SI,70098,143515,B02,BUL,CR,1900,45,RS,1,07092102
36,1410,LC,70120,143090,B02,BUL,CR,1900,07092102
37,1424,LC,70380,143157,B02,BUL,CR,1900,07092102
38,1429,SI,70385,143382,B02,BUL,CR,1900,40,BH,1,B0,250,35,45,SW,07092102
39,1458,LC,70327,145557,B02,BUL,CR,1900,07092102
40,1503,SI,70298,145549,B02,BUL,CR,1900,31,RS,1,SW,07092103
41,1507,SI,70179,145534,B02,BUL,CR,1900,49,RS,1,07092103
42,1509,SD,70122,145538,B02,BUL,CR,1900,07092103
43,1515,LD,2,70120,148300,07092103
01,1003,LA,1R,70120,148300,B03,B05,OC,500,12092201
02,1023,LC,70359,149379,B03,B05,OC,500,12092201
03,1032,LC,70275,148565,B03,B05,OC,500,12092201
04,1040,LC,70390,148369,B03,B05,OC,500,12092201
05,1045,LC,70390,148129,B03,B05,OC,500,12092201
06,1052,LC,70242,148185,B03,B05,OC,500,12092201
07,1100,LC,70198,147390,B03,B05,OC,500,12092201
08,1112,LC,70390,147400,B03,B05,OC,500,12092201
09,1119,LC,70390,147062,B03,B05,OC,500,12092201
10,1131,LC,70123,147139,B03,B05,OC,500,12092201
11,1136,LC,70123,147511,B03,B05,OC,500,00000000
10,1534,LC,70060,144142,B04,B10,OC,1000,12092301
11,1541,LC,70120,143440,B04,B10,OC,1000,12092301
12,1554,LC,70380,143430,B04,B10,OC,1000,12092301
13,1559,LC,70380,143201,B04,B10,OC,1000,12092301
14,1610,LC,2,70120,143179,B04,B10,OC,1000,12092301
01,1610,LA,1R,70120,143200,B04,B10,CL,900,12092401
02,1615,LC,70120,143360,B04,B10,CL,900,12092401
03,1629,LC,70380,143372,B04,B10,CL,900,12092401
04,1635,LC,70380,143193,B04,B10,CL,900,12092401
05,1650,LC,70060,143212,B04,B10,CL,900,12092401
06,1724,LD,2,70120,148300,B04,B10,CL,900,12092401
01,0809,LA,1R,70104,146511,B04,B10,PC,400,13092501
02,0815,LC,70130,146200,B04,B10,PC,400,13092501
03,0817,SI,70138,146171,B04,B10,PC,400,40,PR,4,BO,OI,13092501
04,0820,LC,70390,146240,B04,B10,PC,400,13092501
05,0843,LC,70390,146440,B04,B10,PC,400,13092501
06,0856,LC,70130,146380,B04,B10,PC,400,13092501
07,0900,LC,70130,147080,B04,B10,PC,400,13092501
08,0913,LC,70390,147130,B04,B10,PC,400,13092501
09,0917,LC,70390,147400,B04,B10,PC,1000,13092501
10,0923,SD,70377,147433,B04,B10,PC,1000,13092501
11,0931,LC,70200,147460,B04,B10,PC,1000,13092501
12,0939,LC,70240,148160,B04,B10,PC,1000,13092501
13,0939,SD,70286,148144,B04,B10,PC,1000,13092501
14,0945,LC,70390,148130,B04,B10,PC,1000,13092501
15,0949,LC,70390,148510,B04,B10,PC,1000,13092501
16,0958,LC,2,70270,148320,B04,B10,PC,1000,13092501
01,1215,LA,1R,70104,146511,B04,BUL,CL,1000,13092601
02,1343,LC,70138,146191,B04,BUL,CL,1000,13092601
03,1353,LC,70390,146180,B04,BUL,CL,1000,13092601
04,1411,LC,70390,148340,B04,BUL,CL,1000,13092601
05,1429,PO,70531,150562,B04,BUL,CL,1000,13092601
06,1526,LD,2,71230,156300,B04,BUL,CL,1000,13092601
01,1335,LA,1R,70120,148300,B04,B10,CL,600,14092701
02,1343,LC,70270,148460,B04,B10,CL,600,14092701
03,1348,LC,70390,148500,B04,B10,CL,600,14092701
04,1356,LC,70390,148150,B04,B10,CL,600,14092701
05,1400,LC,70270,148150,B04,B10,CL,700,PN,1,14092701
06,1410,SI,70237,148150,B04,B10,CL,700,WS,1,DV,14092701
09,1415,LC,70200,147540,B04,B10,CL,700,14092701
10,1428,LC,70390,147490,B04,B10,CL,700,14092701
11,1433,LC,70390,147260,B04,B10,CL,700,14092701
12,1441,SI,70220,147234,B04,B1p,Cl,000,08,15092801
02,0844,LC,70130,146200,B03,B05,OC,700,15092801
03,0857,LC,70390,146180,B03,B05,OC,700,15092801
04,0901,LC,70390,146450,B03,B05,OC,700,15092801
05,0914,LC,70130,146390,B03,B05,OC,700,15092801
06,0919,LC,70130,147140,B03,B05,OC,700,15092801
07,0932,LC,70390,147110,B03,B05,OC,700,15092801
08,0938,LC,70390,147400,B03,B05,OC,700,15092801
09,0949,LC,70200,147470,B03,B05,OC,700,15092801
10,0954,LC,70240,148150,B03,B05,OC,700,15092801
11,1002,LC,70390,148250,B03,B05,OC,700,15092801
12,1004,LC,70390,148340,B03,B05,OC,700,15092801
13,1010,LC,70270,148560,B03,B05,OC,700,15092801
14,1022,LD,2,70120,148300,B03,B05,OC,700,15092801
01,0855,LA,1R,70120,148300,B02,B10,OC,1000,17092901
02,0925,LC,70100,145450,B02,B10,OC,1000,17092901
03,0938,LC,70375,145400,B02,B10,OC,1000,17092901
04,0943,LC,70375,145100,B02,B10,OC,1000,17092901
05,0959,LC,70060,145200,B02,B10,OC,1000,17092901
06,1010,LC,70060,144380,B02,B10,OC,1000,17092901
07,1029,LC,70375,144350,B02,B10,OC,1000,17092901
08,1033,SD,70372,144178,B02,B10,OC,1000,17092901
09,1033,LC,70375,144180,B02,B10,OC,1000,17092901
10,1046,LC,70060,144010,B02,B10,OC,1000,17092901
11,1053,LC,70120,143480,B02,B10,OC,1000,17092901
12,1101,PO,70204,143483,B02,B10,OC,1000,17092901
13,1105,LC,70375,143420,B02,B10,OC,1000,17092901
14,1117,LC,70375,143090,B02,B10,OC,1000,17092901
15,1128,LC,2,70120,143110,B02,B10,OC,1000,17092901
01,1405,LA,1R,70420,149390,B02,B10,OC,1000,17093001
02,1427,LC,70420,149390,B02,B10,OC,1000,17093001
03,1438,LC,71070,149450,B02,B10,OC,1000,17093001
04,1442,LC,71070,149220,B02,B10,OC,1000,17093001
05,1453,LC,70420,149220,B02,B10,OC,1000,17093001
06,1500,LC,70420,148450,B02,B10,OC,1000,17093001
07,1513,LC,71070,148500,B02,B10,OC,1000,17093001
08,1517,LC,71070,148150,B02,B10,OC,1000,17093001
10,1530,LC,70420,148150,B02,B10,OC,1000,17093001
11,1535,LC,70420,147400,B02,B10,OC,1000,17093001
12,1548,LC,71070,147400,B02,B10,OC,1000,17093001
13,1552,LC,71070,147190,B02,B10,OC,1000,17093001
14,1555,SD,71025,147176,B02,B10,OC,1000,17093001
15,1604,LC,70420,147230,B02,B10,OC,1000,17093001
16,1608,LC,70420,146540,B02,B10,OC,1000,17093001
17,1621,LC,71070,146410,B02,B10,OC,1000,17093001
18,1625,LC,71070,146140,B02,B10,OC,1000,17093001
19,1636,LC,2,70420,146110,B02,B10,OC,1000,17093001
01,1304,LA,1R,70120,148300,B01,B20,CR,1000,18093101
02,1314,LA,70270,148320,B01,B20,CR,1000,18093101
03,1321,LA,70390,148510,B01,B20,CR,1000,18093109
11,1421,SD,70130,146400,B01,B20,CR,1000,18093101
12,1433,SD,70390,146390,B01,B20,CR,1000,18093101
13,1436,SD,70390,146150,B01,B20,CR,1000,18093101
14,1448,SD,2,70130,146240,B01,B20,CR,1000,18093101
01,1454,LC,1R,70110,145530,18093201
02,1508,LC,70390,145450,18093201
03,1524,SI,70345,145137,B01,B20,CR,1000,10,BH,002,BO,240,35,SW,18093201
06,1555,LC,70060,145080,B01,B20,CR,1000,18093201
07,1604,LC,70060,144300,B01,B20,CR,2000,18093201
08,1619,LC,70390,144480,B01,B20,CR,2000,18093201
09,1625,LC,70390,144090,B01,B20,CR,2000,18093201
10,1640,LC,70060,144150,B01,B20,CR,2000,18093201
11,1705,LD,70104,146511,B01,B20,CR,2000,18093201
12,1806,LD,2,70120,148300,B01,B20,CR,2000,18093201
01,0822,LA,1R,70120,148300,B02,B20,PC,1000,19093301
02,0827,LA,70270,148540,B02,B20,PC,1000,19093301
03,0832,LA,70390,148370,B02,B20,PC,1000,19093301
04,0836,LA,70390,148150,B02,B20,PC,1000,19093301
05,0842,LA,70230,148050,B02,B20,PC,1000,19093301
06,0859,LA,70230,148050,B02,B20,PC,1000,19093301
07,0902,LA,70200,147500,B02,B20,PC,1000,19093301
08,0912,LA,70390,147570,B02,B20,PC,1000,19093301
09,0921,SD,70387,147069,B02,B20,PC,1000,19093301
10,0922,SD,70390,147030,B02,B20,PC,1000,19093301
11,0931,SI,70212,147193,B02,B20,PC,1000,BS,1,360,SW,19093301
12,0934,SI,70130,147250,B02,B20,PC,1000,19093301
13,0943,SI,70130,146320,B02,B20,PC,1000,19093301
14,0953,PO,70345,146339,B02,B20,PC,1000,19093301
15,0955,PO,70390,146360,B02,B20,PC,1000,19093301
16,0958,PO,70390,146200,B02,B20,PC,1000,19093301
17,1010,PO,70130,146050,B02,B20,PC,1000,19093301
18,1021,LD,2,70104,146511,B02,B20,PC,1000,19093301
01,1314,LA,1R,70120,148300,B02,B20,PC,1000,19093401
02,1329,PO,70335,146493,B02,B20,PC,1000,19093401
03,1341,LC,70450,146000,B02,B20,PC,1000,19093401
04,1418,LC,70450,142000,B02,B20,PC,1000,19093401
05,1436,LC,70120,142000,B02,B20,PC,1000,19093401
06,1440,LC,70120,142090,B02,B20,PC,1000,19093401
07,1447,LC,70380,142110,B02,B20,PC,1000,19093401
08,1456,LC,70380,142320,B02,B20,PC,1000,19093401
09,1509,LC,70120,142460,B02,B20,PC,1000,19093401
10,1509,PO,70065,142361,B02,B20,PC,1000,19093401
11,1521,PO,70120,142460,B02,B20,PC,1000,19093401
12,1526,PO,70120,143190,B02,B20,PC,1000,19093401
13,1536,PO,70380,143110,B02,B20,PC,1000,19093401
14,1538,SD,70380,143098,B02,B20,PC,1000,19093401
15,1544,SD,70380,143450,B02,B20,PC,1000,19093401
16,1557,SD,70120,143390,B02,B20,PC,1000,19093401
17,1604,SD,70060,144150,B02,B20,PC,1000,00000000
00,1116,LC,71200,146430,B01,B20,CR,1000,20093501
08,1119,SI,71127,146436,B01,B20,CR,1000,20,RS,1,20093501
09,1126,SI,70552,146390,B01,B20,CR,1000,28,RS,6,DV,20093501
10,1128,SI,70513,146401,B01,B20,CR,1000,32,RS,1,20093501
11,1132,LC,70422,146367,B01,B20,CR,1000,20093501
12,1138,LC,70422,147251,B01,B20,CR,1500,20093501
13,1138,SI,70424,147187,B01,B20,CR,1500,20093501
14,1144,SI,70542,147117,B01,B20,CR,1500,20093501
15,1147,SI,70599,147209,B01,B20,CR,1500,20093501
16,1150,SI,71010,147200,B01,B20,CR,1500,20093501
17,1152,LC,71200,147060,B01,B20,CR,1500,20093501
18,1200,LC,71200,147485,B01,B20,CR,1500,20093501
19,1201,SI,71063,147462,B01,B20,CR,1500,35,RS,1,DV,20093501
20,1202,SI,71063,147462,B01,B20,CR,1500,34,RS,5,20093501
21,1213,SI,70422,147513,B01,B20,CR,1500,32,RS,1,20093502
22,1216,LC,70422,147499,B01,B20,CR,1500,20093502
23,1216,SI,70407,147486,B01,B20,CR,1500,32,RS,1,20093502
24,1220,LC,70422,148232,B01,B20,CR,1500,20093502
26,1235,SI,71114,148277,B01,B20,CR,1500,28,RS,5,20093502
27,1236,SI,71110,148322,B01,B20,CR,1500,34,RS,12,20093502
28,1236,SI,71114,148377,B01,B20,CR,1500,34,RS,14,20093502
29,1241,SD,71114,148344,B01,B20,CR,1500,20093502
30,1245,LC,71200,148395,B01,B20,CR,1500,20093502
31,1253,SI,70553,148513,B01,B20,CR,1500,32,RS,5,20093502
32,1258,LC,70422,148382,B01,B20,CR,1500,20093502
33,1300,SI,70429,148533,B01,B20,CR,1500,25,RS,2,20093502
34,1304,LC,70422,149139,B01,B20,CR,1500,20093502
35,1317,SI,70422,149134,B01,B20,CR,1500,34,RS,4,20093502
36,1319,LC,71200,149122,B01,B20,CR,1500,20093502
37,1340,LC,71200,149440,B01,B20,CR,1500,20093502
38,1350,LC,70422,149440,B01,B20,CR,1500,20093502
39,1404,LD,2,70120,148300,B01,B20,CR,1500,20093502
01,1251,LA,1R,70120,148300,B03,B15,CR,1300,23093601
02,1329,LC,70460,145000,B03,B15,CR,1300,23093601
03,1350,SD,70397,142133,B03,B15,CR,1300,23093601
04,1359,LC,70460,142000,B03,B15,CR,1300,23093601
05,1414,LC,70120,142120,B03,B15,CR,1300,23093601
06,1432,LC,70090,143400,B03,B15,CR,1300,23093601
07,1512,LC,70090,143400,B03,B15,CR,1300,23093601
08,1520,LC,70120,143500,B03,B15,CR,1300,23093601
09,1532,LC,70289,143573,B03,B15,CR,1300,23093601
10,1536,LC,70380,144080,B03,B15,CR,1300,23093601
11,1539,LC,70380,144380,B03,B15,CR,1300,23093601
12,1555,LC,70050,144390,B03,B15,CR,1300,23093601
13,1602,LC,70050,145160,B03,B15,CR,1300,23093601
14,1615,LC,70380,145290,B03,B15,CR,1300,23093601
15,1619,LC,70380,145510,B03,B15,CR,1300,23093601
16,1623,SI,70313,145553,B03,B15,CR,1250,RS,1,SW,23093601
17,1631,LC,70050,145410,B03,B15,CR,1250,23093601
18,1654,LD,2,70120,148300,B03,B15,CR,1250
00,0000,00,0,00000,000000,B02,B20,CR,1500,22,BH,5,090,24093701
08,1036,SD,69547,141510,B02,B20,CR,1500,24093701
09,1039,SI,69557,141471,B02,B20,CR,1500,5,BH,2,270,24093701
10,1041,SI,69564,141499,B02,B20,CR,1500,20,BH,5,210,SW,24093701
11,1045,SD,69569,141501,B02,B20,CR,1500,24093701
12,1054,SI,69562,141473,B02,B20,CR,1500,5,BH,15,270,24093701
13,1101,SD,69555,141465,B02,B20,CR,1500,24093701
14,1118,SI,69570,141440,B02,B20,CR,1500,4,BH,2,150,SW,24093701
15,1120,SI,69556,141520,B02,B20,CR,1500,8,BH,3,150,24093701
16,1124,SI,69552,141470,B02,B20,CR,1500,4,BH,1,090,DV,24093701
17,1154,SI,69561,141515,B02,B20,CR,1500,26,BH,1,270,24093701
18,1154,PO,69561,141515,B02,B20,CR,1500,24093701
19,1313,LD,2,70120,148300,B02,B20,CR,1500,24093701
01,1515,LA,1R,70120,148300,B03,B05,OC,1000,24093801
02,1524,LC,70270,148490,B03,B05,OC,1000,24093801
03,1531,LC,70390,148490,B03,B05,OC,1000,24093801
04,1535,LC,70390,148170,B03,B05,OC,1000,24093801
05,1540,LC,70230,148100,B03,B05,OC,1000,24093801
06,1545,LC,70200,147470,B03,B05,OC,1000,24093801
07,1557,LC,70390,147360,B03,B05,OC,1000,24093801
08,1602,LC,70390,147050,B03,B05,OC,1000,24093801
09,1607,SD,70323,147007,B03,B05,OC,1000,24093801
10,1614,LC,70120,147000,B03,B05,OC,1000,24093801
11,1617,LC,70120,146330,B03,B05,OC,1000,24093801
12,1632,LC,70390,146560,B03,B05,OC,1000,24093801
13,1634,PO,70388,146362,B03,B05,OC,1000,24093801
14,1643,LC,70390,146050,B03,B05,OC,1000,24093801
15,1655,LC,2,70120,146291,B03,B05,OC,1000,24093801
